value,label,description
adultes,Adultes,
alternants,Alternants,
beneficiaires-rsa,Bénéficiaires du Revenu de Solidarité Active (RSA),
deficience-visuelle,Déficience visuelle,
demandeurs-demploi,Demandeurs ou demandeuses d’emploi,
familles-enfants,Familles/enfants,
femmes,Femmes,Le lieu propose des accompagnements réservés aux femmes.
handicaps-mentaux,Handicaps mentaux : déficiences limitant les activités d’une personne,
handicaps-psychiques,Handicaps psychiques : troubles psychiatriques donnant lieu à des atteintes comportementales,
jeunes,Jeunes,
jeunes-16-26,Jeunes (16-26 ans),
locataires,Locataires,
personnes-en-situation-de-handicap,Personnes en situation de handicap,Une personne se déplaçant temporairement en béquilles des suites d’une intervention médicale est en situation de handicap sans toutefois être handicapée.
personnes-en-situation-illettrisme,Personnes en situation d’illettrisme,
personnes-handicapees,Personnes handicapées,Ce terme est privilégié pour désigner une incapacité persistante et significative subie par une personne dans son environnement.
proprietaires,Propriétaires,
public-langues-etrangeres,Public langues étrangères,
retraites,Retraités,
salaries,Salariés,
seniors-65,Seniors (+ 65 ans),
surdite,Surdité,
