value,label,description
acces-aux-droits-et-citoyennete,Accès aux droits & citoyenneté,
acces-aux-droits-et-citoyennete--accompagnement-dans-les-demarches-administratives,Accompagnement dans les démarches administratives,
acces-aux-droits-et-citoyennete--accompagnement-juridique,Accompagnement juridique,
acces-aux-droits-et-citoyennete--aide-aux-victimes,Aide aux victimes,
acces-aux-droits-et-citoyennete--connaitre-ses-droits,Connaître ses droits,
acces-aux-droits-et-citoyennete--demandeurs-dasile-et-naturalisation,Demandeurs d’asile et naturalisation,
acces-aux-droits-et-citoyennete--developpement-durable,Développement durable,
acces-aux-droits-et-citoyennete--faciliter-laction-citoyenne,Faciliter l’action citoyenne,
accompagnement-social-et-professionnel-personnalise,Accompagnement social et professionnel personnalisé,
accompagnement-social-et-professionnel-personnalise--decrochage-scolaire,Décrochage scolaire,
accompagnement-social-et-professionnel-personnalise--definition-du-projet-professionnel,Définition du projet professionnel,
accompagnement-social-et-professionnel-personnalise--parcours-d-insertion-socioprofessionnel,Parcours d’insertion socio-professionnel,
apprendre-francais,Apprendre le Français,
apprendre-francais--accompagnement-insertion-pro,Accompagnement vers l’insertion professionnelle,
apprendre-francais--communiquer-vie-tous-les-jours,Communiquer dans la vie de tous les jours,
apprendre-francais--suivre-formation,Suivre une formation,
choisir-un-metier,Choisir un métier,
choisir-un-metier--confirmer-son-choix-de-metier,Confirmer son choix de métier,
choisir-un-metier--connaitre-les-opportunites-demploi,Connaître les opportunités d’emploi,
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite,Découvrir un métier ou un secteur d’activité,
choisir-un-metier--identifier-ses-points-forts-et-ses-competences,Identifier ses points forts et ses compétences,
creation-activite,Création d’activité,
creation-activite--definir-son-projet-de-creation-dentreprise,Définir son projet de création d’entreprise,
creation-activite--developper-son-entreprise,Développer son entreprise,
creation-activite--financer-son-projet,Financer son projet,
creation-activite--reseautage-pour-createurs-dentreprise,Réseautage pour créateurs d’entreprise,
creation-activite--structurer-son-projet-de-creation-dentreprise,Structurer son projet de création d’entreprise,
equipement-et-alimentation,Équipement et alimentation,
equipement-et-alimentation--acces-a-du-materiel-informatique,Accès à du matériel informatique,
equipement-et-alimentation--acces-a-un-telephone-et-un-abonnement,Accès à un téléphone et un abonnement,
equipement-et-alimentation--aide-menagere,Aide ménagère,
equipement-et-alimentation--alimentation,Alimentation,
equipement-et-alimentation--electromenager,Électroménager,
equipement-et-alimentation--habillement,Habillement,
famille,Famille,
famille--accompagnement-femme-enceinte-bebe-jeune-enfant,"Accompagnement femme enceinte, bébé, jeune enfant",
famille--garde-denfants,Garde d’enfants,
famille--information-et-accompagnement-des-parents,Information et accompagnement des parents,
famille--jeunes-sans-soutien-familial,Jeunes sans soutien familial,
famille--soutien-a-la-parentalite,Soutien à la parentalité,
famille--soutien-aux-familles,Soutien aux familles,
famille--violences-intrafamiliales,Violences intrafamiliales,
gestion-financiere,Gestion financière,
gestion-financiere--acces-au-micro-credit,Accès au micro-crédit,
gestion-financiere--accompagnement-aux-personnes-en-difficultes-financieres,Accompagnement aux personnes en difficultés financières,
gestion-financiere--apprendre-a-gerer-son-budget,Apprendre à gérer son budget,
gestion-financiere--beneficier-daides-financieres,Bénéficier d’aides financières,
gestion-financiere--creation-et-utilisation-dun-compte-bancaire,Création et utilisation d’un compte bancaire,
gestion-financiere--obtenir-une-aide-alimentaire,Obtenir une aide alimentaire,
gestion-financiere--prevention-et-gestion-du-surendettement,Prévention et gestion du surendettement,
handicap,Handicap,
handicap--accompagnement-par-une-structure-specialisee,Accompagnement par une structure spécialisée,
handicap--adaptation-au-poste-de-travail,Adaptation au poste de travail,
handicap--adapter-son-logement,Adapter son logement,
handicap--aide-a-la-personne,Aide à la personne en situation de handicap ou malade,
handicap--connaissance-des-droits-des-travailleurs,Connaissance des droits des travailleurs,
handicap--faire-reconnaitre-un-handicap,Faire reconnaître un handicap,
handicap--favoriser-le-retour-et-le-maintien-dans-lemploi,Favoriser le retour et le maintien dans l’emploi,
handicap--gerer-le-depart-a-la-retraite-des-personnes-en-situation-de-handicap,Gérer le départ à la retraite des personnes en situation de handicap,
handicap--mobilite-des-personnes-en-situation-de-handicap,Mobilité des personnes en situation de handicap,
illettrisme,Illettrisme,
illettrisme--accompagner-scolarite,Accompagner la scolarité d’un enfant,
illettrisme--ameliorer-vocabulaire,Améliorer un niveau de vocabulaire,
illettrisme--etre-autonome,Être autonome dans la vie de tous les jours,
illettrisme--info-acquisition-connaissances,Être informé(e) sur l’acquisition des compétences de base,
illettrisme--permis-conduire,Passer le permis de conduire,
illettrisme--reperer-situation-illettrisme,Repérer des situations d’illettrisme,
illettrisme--surmonter-trouble-apprentissage,Surmonter un trouble de l’apprentissage,
illettrisme--trouver-emploi-formation,Trouver un emploi ou une formation,
illettrisme--utiliser-numerique,Savoir utiliser les outils numériques,
illettrisme--valider-certification-clea,Valider une certification Cléa,
logement-hebergement,Logement et hébergement,
logement-hebergement--aides-financieres-investissement-locatif,Aides financières pour l’investissement locatif,
logement-hebergement--besoin-dadapter-mon-logement,Besoin d’adapter mon logement,
logement-hebergement--connaissance-de-ses-droits-et-interlocuteurs,Connaissance de ses droits et interlocuteurs,
logement-hebergement--demenagement,Déménagement,
logement-hebergement--etre-accompagne-dans-son-projet-accession,Être accompagné(e) dans son projet d’accession,
logement-hebergement--etre-accompagne-en cas-de-difficultes-financieres,Être accompagné(e) en cas de difficultés financières,
logement-hebergement--etre-accompagne-pour-se-loger,Être accompagné(e) pour se loger,
logement-hebergement--financer-son-projet-travaux,Financer son projet de travaux,
logement-hebergement--gerer-son-budget,Gérer son budget,
logement-hebergement--mal-loges-sans-logis,Mal logé/sans logis,
logement-hebergement--probleme-avec-son-logement,Problème avec son logement,
logement-hebergement--reprendre-un-emploi-ou-une-formation,Reprendre un emploi ou une formation,
mobilite,Mobilité,
